iter	RMSE
0	20.72896076
1	19.37222746
2	18.15131273
3	17.0483616
4	16.08737421
5	15.31234187
6	14.70818616
7	14.07264971
8	13.54871988
9	13.10410477
10	12.74357623
11	12.40600806
12	12.17397811
13	11.96787101
14	11.79727176
15	11.58286646
16	11.46160244
17	11.33841013
18	11.23221037
19	11.1468012
20	11.06330709
21	11.01863207
22	10.94461656
23	10.91020276
24	10.84714478
25	10.7913187
26	10.74006846
27	10.69827503
28	10.69481966
29	10.64216924
30	10.60845702
31	10.60127436
32	10.59997394
33	10.56866028
34	10.54222058
35	10.53424586
36	10.52219965
37	10.51900653
38	10.51621336
39	10.4879543
40	10.48257644
41	10.47665735
42	10.4745181
43	10.46659199
44	10.45702782
45	10.44020772
46	10.38458057
47	10.35137353
48	10.34553627
49	10.33360302
50	10.32416269
51	10.28665022
52	10.28142211
53	10.27275291
54	10.26775559
55	10.2563746
56	10.24064554
57	10.23300632
58	10.20158824
59	10.19968288
60	10.18306847
61	10.15390606
62	10.14134314
63	10.13507346
64	10.12805824
65	10.09464896
66	10.07180349
67	10.06615783
68	10.05808817
69	10.03381948
70	10.03096455
71	10.02213066
72	10.01219547
73	10.00498458
74	9.978009589
75	9.957349289
76	9.940353105
77	9.938266453
78	9.92466445
79	9.908643422
80	9.903198229
81	9.883458373
82	9.860577079
83	9.855794963
84	9.841721296
85	9.836128817
86	9.82366841
87	9.794690849
88	9.782339788
89	9.760059966
90	9.746961901
91	9.742764006
92	9.723569736
93	9.713952869
94	9.70460596
95	9.699791341
96	9.669777445
97	9.661845631
98	9.641191
99	9.634612835
100	9.624307428
101	9.620190742
102	9.6142228
103	9.597209716
104	9.587483517
105	9.560953006
106	9.527895209
107	9.518033122
108	9.514127975
109	9.500121887
110	9.49650038
111	9.473993735
112	9.470325407
113	9.458072606
114	9.454703113
115	9.431367717
116	9.41577097
117	9.412599238
118	9.389011076
119	9.372701987
120	9.366411359
121	9.351686328
122	9.337533532
123	9.327753874
124	9.318417602
125	9.300693438
126	9.289935248
127	9.287317404
128	9.270475641
129	9.260371853
130	9.259249693
131	9.255545182
132	9.25205074
133	9.218773761
134	9.206569719
135	9.201845712
136	9.184355608
137	9.17808831
138	9.163197377
139	9.148317005
140	9.13700516
141	9.129083606
142	9.119026598
143	9.103062634
144	9.085920981
145	9.073284504
146	9.066551345
147	9.055747106
148	9.048107818
149	9.042071903
150	9.030050358
151	9.020764029
152	9.014630711
153	9.012920383
154	8.997702557
155	8.990630534
156	8.981970012
157	8.970325651
158	8.963391987
159	8.956874413
160	8.952826572
161	8.950496071
162	8.937119316
163	8.934788088
164	8.931073912
165	8.914405861
166	8.906983865
167	8.900078265
168	8.877526812
169	8.86708659
170	8.863739355
171	8.852285049
172	8.849546032
173	8.836948774
174	8.825834252
175	8.8239319
176	8.815850171
177	8.796902076
178	8.795157344
179	8.789849251
180	8.779091527
181	8.766225847
182	8.757713203
183	8.750766783
184	8.74916304
185	8.742308216
186	8.740376497
187	8.723576697
188	8.722679993
189	8.701082497
190	8.699251737
191	8.695980043
192	8.688171124
193	8.669374115
194	8.663047693
195	8.645262649
196	8.622262696
197	8.615285872
198	8.608645192
199	8.596107635
200	8.587715285
201	8.582370216
202	8.577164594
203	8.573195728
204	8.557838952
205	8.552958186
206	8.548520004
207	8.544905578
208	8.541187856
209	8.530881613
210	8.529311457
211	8.518558052
212	8.51489723
213	8.504303752
214	8.500648026
215	8.471750133
216	8.463181484
217	8.460367723
218	8.448318163
219	8.444808338
220	8.437697201
221	8.430465879
222	8.419871761
223	8.410860484
224	8.394422907
225	8.384507078
226	8.37236825
227	8.357832192
228	8.354825835
229	8.351745757
230	8.33462798
231	8.325364741
232	8.320883178
233	8.315007681
234	8.312997037
235	8.309904211
236	8.297145913
237	8.288050283
238	8.26611782
239	8.25360477
240	8.238140698
241	8.235183835
242	8.234399697
243	8.233654476
244	8.226432874
245	8.217522505
246	8.216097085
247	8.204780396
248	8.201075428
249	8.198985525
250	8.195231578
251	8.188671021
252	8.180974922
253	8.175939234
254	8.175052451
255	8.167231278
256	8.155615587
257	8.153479096
258	8.143113939
259	8.131163984
260	8.117444119
261	8.104269828
262	8.101711007
263	8.100477202
264	8.097404029
265	8.091916608
266	8.085254832
267	8.073485461
268	8.063900659
269	8.058777887
270	8.049378355
271	8.043866722
272	8.03309438
273	8.021427552
274	8.014926854
275	7.98417406
276	7.982017189
277	7.977259855
278	7.949755089
279	7.939647381
280	7.937453209
281	7.923903287
282	7.916397563
283	7.903635993
284	7.902653281
285	7.897445024
286	7.887606117
287	7.880505359
288	7.874716389
289	7.873704492
290	7.857510183
291	7.84676479
292	7.838768048
293	7.821408819
294	7.810602167
295	7.799425787
296	7.790583052
297	7.768800804
298	7.758835357
299	7.754701276
300	7.749543397
301	7.746603044
302	7.74290918
303	7.736820896
304	7.724560077
305	7.710904405
306	7.705726865
307	7.704709815
308	7.701612352
309	7.700940433
310	7.698113772
311	7.69028104
312	7.68866302
313	7.67929601
314	7.675054361
315	7.674403112
316	7.663530767
317	7.650817642
318	7.650181257
319	7.649550614
320	7.64894973
321	7.64818198
322	7.642031111
323	7.633463124
324	7.625605888
325	7.625050727
326	7.618677039
327	7.60196796
328	7.601408426
329	7.600864996
330	7.580360818
331	7.579831402
332	7.57451365
333	7.566667276
334	7.552630116
335	7.537647825
336	7.537136433
337	7.536325279
338	7.53230009
339	7.53178739
340	7.531265798
341	7.530541565
342	7.522411674
343	7.514920657
344	7.51128776
345	7.510799834
346	7.509047414
347	7.502428596
348	7.488590007
349	7.481897956
350	7.481471009
351	7.481000081
352	7.465655372
353	7.465192773
354	7.464782404
355	7.448150436
356	7.444510417
357	7.444115205
358	7.440900758
359	7.428327458
360	7.422566098
361	7.411407793
362	7.408000066
363	7.396827527
364	7.392451611
365	7.387941998
366	7.383290752
367	7.379245837
368	7.370893892
369	7.360058692
370	7.350973041
371	7.343032217
372	7.333258137
373	7.319489227
374	7.299697973
375	7.294981938
376	7.28960096
377	7.287632687
378	7.276114253
379	7.273834681
380	7.263333446
381	7.25409077
382	7.244530024
383	7.23806034
384	7.229815594
385	7.221525056
386	7.208705855
387	7.207833513
388	7.197409584
389	7.192800469
390	7.184518091
391	7.176563389
392	7.173164963
393	7.168055096
394	7.156312096
395	7.139409391
396	7.128671216
397	7.113467445
398	7.107670082
399	7.100915408
400	7.090094923
401	7.078776883
402	7.070992026
403	7.064836404
404	7.049812067
405	7.023539969
406	7.023158959
407	7.008156867
408	7.000162809
409	6.99278353
410	6.992430583
411	6.984869088
412	6.977282925
413	6.976920127
